# Input: forestfire.txt
# Nodes: 100    Edges: 121
# Algoritm: Cluset-Newman-Moore
# Modularity: 0.779796
# Communities: 13
# NId	CommunityId
1	0
0	0
7	0
8	0
9	0
10	0
12	0
15	0
22	0
30	0
58	0
63	0
86	0
87	0
93	0
2	1
3	1
23	1
36	1
37	1
46	1
51	1
79	1
92	1
94	1
97	1
98	1
99	1
4	2
5	2
13	2
14	2
17	2
21	2
29	2
33	2
57	2
67	2
70	2
6	3
19	3
52	3
54	3
60	3
61	3
69	3
78	3
83	3
84	3
95	3
11	4
28	4
31	4
42	4
48	4
68	4
16	5
27	5
62	5
75	5
77	5
80	5
18	6
49	6
50	6
56	6
64	6
73	6
20	7
66	7
85	7
24	8
26	8
43	8
25	9
35	9
39	9
59	9
82	9
89	9
32	10
38	10
44	10
45	10
90	10
96	10
34	11
41	11
53	11
65	11
71	11
72	11
40	12
47	12
55	12
74	12
76	12
81	12
88	12
91	12
