# Directed graph: forestfire.txt 
# GEO  FWD:0.01  BCK:0.32, StartNds:1, Take2:0, Orphan:0, ProbDecay:1
# Nodes: 100 Edges: 121
# FromNodeId	ToNodeId
1	0
2	1
3	2
4	3
5	3
5	4
6	0
7	0
8	0
9	1
10	0
10	1
10	7
11	1
12	0
12	10
13	4
13	5
14	5
15	7
16	15
17	5
18	17
19	6
20	0
21	17
22	12
23	3
24	4
25	17
26	24
27	16
28	11
29	14
30	22
31	28
32	0
33	17
34	1
35	25
36	3
36	23
37	2
38	32
39	35
40	36
41	34
42	11
43	24
43	26
44	38
45	38
46	3
47	40
48	31
49	18
50	49
51	37
52	6
53	41
54	52
55	47
56	49
57	17
58	30
59	39
60	19
61	6
62	16
63	10
64	56
65	34
66	20
67	4
67	5
67	14
67	17
68	48
69	52
69	54
70	17
70	67
71	53
72	41
73	64
74	55
75	62
76	47
77	27
78	54
79	46
80	16
80	62
80	75
81	40
82	39
83	54
84	78
85	66
86	22
86	30
87	12
87	22
88	55
89	25
89	35
90	38
90	44
91	81
92	46
93	0
93	10
93	12
93	63
93	87
94	51
95	83
96	45
97	3
98	97
99	92
